[ 0.09185895  0.83007615  0.55003271  0.35539246],[-0.03390605 -0.54944066  0.83484456 -0.03122557],[ 0.99519529 -0.09533776 -0.02232724 -0.07786853],[ 0.  0.  0.  1.]
[ 0.03214636  0.91847027 -0.39418191  0.3601275 ],[ 0.9724241   0.06240689  0.22471538 -0.07840029],[ 0.23099376 -0.3905366  -0.89113652 -0.03295765],[ 0.  0.  0.  1.]
[-0.03452152  0.61848495  0.78503775  0.33579842],[-0.51166576 -0.68568958  0.51771403  0.02220253],[ 0.85849121 -0.38380519  0.34012816 -0.07780779],[ 0.  0.  0.  1.]
[-0.52715936  0.32132448  0.78667218  0.38640758],[-0.54122585 -0.84065585 -0.01930817  0.01562847],[ 0.65511718 -0.4359462   0.6170685  -0.05626987],[ 0.  0.  0.  1.]
[-0.85243686  0.32416682 -0.4102032   0.40488588],[ 0.21549629 -0.49699167 -0.84057165 -0.02480436],[-0.47635295 -0.80493209  0.35379793 -0.02727209],[ 0.  0.  0.  1.]
[-0.7763779   0.25279056 -0.57735063  0.38905391],[ 0.33092634 -0.61611305 -0.71476734 -0.06083816],[-0.53639993 -0.74599047  0.39468234  0.01424602],[ 0.  0.  0.  1.]
[-0.14634038  0.68291851 -0.71568554  0.33768034],[ 0.96526113 -0.05973031 -0.25436792 -0.08585985],[-0.21646109 -0.7280489  -0.65045375  0.02226467],[ 0.  0.  0.  1.]
[ 0.04706248  0.88542331  0.46239689  0.25341191],[-0.78295624 -0.25476051  0.56751792  0.07025833],[ 0.6202946  -0.38874614  0.68125773 -0.03004856],[ 0.  0.  0.  1.]
[-0.05040734  0.74753364  0.6623077   0.31100995],[-0.72481321 -0.48361161  0.49067839  0.06567011],[ 0.68709943 -0.45531622  0.56619981 -0.042693  ],[ 0.  0.  0.  1.]
[-0.6192667   0.39603402  0.67798659  0.37897646],[-0.66557314 -0.72286676 -0.18567915  0.06663214],[ 0.41655929 -0.56623492  0.71123651 -0.01876226],[ 0.  0.  0.  1.]
[-0.80663499  0.42750876 -0.40813695  0.40565301],[ 0.05087313 -0.63774858 -0.76856301  0.02283489],[-0.58885587 -0.64071387  0.49268217  0.02528888],[ 0.  0.  0.  1.]
[-0.53960851  0.51829485 -0.66346994  0.38262096],[ 0.30844062 -0.61155903 -0.72860119 -0.02817958],[-0.78338174 -0.59780115  0.17013994  0.06711817],[ 0.  0.  0.  1.]
[-0.07030203  0.61439467 -0.78586041  0.31128688],[ 0.91235562 -0.27892209 -0.29968266 -0.0576913 ],[-0.40331755 -0.73805353 -0.54093757  0.06781881],[ 0.  0.  0.  1.]
[ 0.16479892  0.64636604 -0.74501788  0.25125304],[ 0.48329485 -0.71137243 -0.51026982 -0.03830199],[-0.85980656 -0.27597215 -0.42961901  0.07548391],[ 0.  0.  0.  1.]
[-0.02791607  0.81807499  0.57443389  0.29801414],[-0.94828446 -0.20344664  0.24365317  0.09292486],[ 0.3161934  -0.53792492  0.78144653  0.00564322],[ 0.  0.  0.  1.]
[-0.14283094  0.55184763  0.82162249  0.34913774],[-0.98910658 -0.10945568 -0.09842951  0.09084192],[ 0.03561369 -0.82673146  0.56146882  0.02769367],[ 0.  0.  0.  1.]
[-0.52065381  0.59417896  0.61308261  0.36903295],[-0.74282159  0.03873018 -0.66836841  0.05968128],[-0.42087481 -0.80339997  0.42120396  0.06630521],[ 0.  0.  0.  1.]
[-0.29552652  0.4808705  -0.82548634  0.34968804],[-0.10199845 -0.87502546 -0.47321148  0.02178121],[-0.94987398 -0.05564857  0.30764091  0.10340959],[ 0.  0.  0.  1.]
[ 0.28701227  0.50396951 -0.81464045  0.29871783],[ 0.12232286 -0.86274175 -0.49062907 -0.00210263],[-0.95008499  0.04116679 -0.30926414  0.10420127],[ 0.  0.  0.  1.]
[ 0.12353863  0.78590142  0.60588488  0.29850764],[-0.88996678  0.35783554 -0.28268996  0.08700063],[-0.43897375 -0.50429403  0.74363243  0.05418425],[ 0.  0.  0.  1.]
[ 0.30969387  0.94571675 -0.09853159  0.29940591],[-0.28338981 -0.00711202 -0.95897866  0.0522601 ],[-0.90762298  0.324913    0.26580446  0.09880147],[ 0.  0.  0.  1.]
[-0.66005055  0.30741901 -0.6854386   0.39212238],[-0.66413048 -0.66522829  0.34117759  0.05235442],[-0.3510888   0.68041573  0.64325037  0.05285922],[ 0.  0.  0.  1.]
