[-0.50349181  0.86004141 -0.08261088  0.11155642],[-0.83166156 -0.45651193  0.31612653  0.04148441],[ 0.23416907  0.22787154  0.9451135   0.04796126],[ 0.  0.  0.  1.]
[-0.60744003  0.76502541  0.21389952  0.10907299],[ 0.79370864  0.57357407  0.20258271 -0.02377576],[ 0.03229378  0.29283072 -0.95561915  0.05460189],[ 0.  0.  0.  1.]
[-0.11786922  0.9478896  -0.29599441  0.07151899],[-0.9324117  -0.00309616  0.36138457  0.08176813],[ 0.34163602  0.31858505  0.88418829  0.04372889],[ 0.  0.  0.  1.]
[-0.06341007  0.99654915  0.05356843  0.0819329 ],[-0.8927794  -0.03265517 -0.44930884  0.06349959],[-0.44600896 -0.07631551  0.89176925  0.09658602],[ 0.  0.  0.  1.]
[-0.43461258  0.90060679 -0.00440079  0.0908994 ],[ 0.43315944  0.20474394 -0.87775444  0.01257715],[-0.78961039 -0.38338942 -0.47909045  0.11293456],[ 0.  0.  0.  1.]
[-0.37392168  0.92152654 -0.10474507  0.07705297],[ 0.46802883  0.08998412 -0.87912    -0.04238559],[-0.80070711 -0.37774578 -0.46494796  0.10098593],[ 0.  0.  0.  1.]
[-0.2617577   0.94741754  0.18407514  0.06561817],[ 0.96479211  0.25178946  0.07601415 -0.06526355],[ 0.02566904  0.19749135 -0.97996869  0.048559  ],[ 0.  0.  0.  1.]
[-0.15978456  0.88547466 -0.43635245 -0.02689408],[-0.97430921 -0.07039237  0.21393031  0.08636269],[ 0.1587139   0.45932488  0.87397396  0.00168703],[ 0.  0.  0.  1.]
[-0.18957692  0.91394343 -0.35884449  0.00872438],[-0.97030219 -0.11845897  0.21090575  0.09116295],[ 0.15024743  0.38817079  0.90925797  0.04859969],[ 0.  0.  0.  1.]
[-0.02534718  0.95186029 -0.30548227  0.02292288],[-0.86340132 -0.17487002 -0.47324226  0.07559936],[-0.50388016  0.25175841  0.82627029  0.11985797],[ 0.  0.  0.  1.]
[-0.06528574  0.99365672  0.09156963  0.02680016],[ 0.68091144  0.11144225 -0.72383748  0.01438175],[-0.72945027  0.01509452 -0.68386765  0.14597935],[ 0.  0.  0.  1.]
[ 0.0995901   0.98703271 -0.12589221  0.02010943],[ 0.82374366 -0.15275431 -0.54599699 -0.05257646],[-0.55814705 -0.04932703 -0.82827472  0.12217697],[ 0.  0.  0.  1.]
[-0.26179552  0.9355846   0.23695086  0.00563495],[ 0.9644796   0.2446462   0.09963871 -0.07350714],[ 0.03525128  0.25461897 -0.96639883  0.04661959],[ 0.  0.  0.  1.]
[ 0.41928628  0.89773767  0.13515464 -0.03773599],[ 0.89937307 -0.39043976 -0.196683   -0.06448052],[-0.12380049  0.20402072 -0.97110718  0.00209184],[ 0.  0.  0.  1.]
[ 0.41213164  0.88579458 -0.21334204 -0.04472037],[-0.88841344  0.33873264 -0.30980905  0.08062623],[-0.20216187  0.31721806  0.92655464  0.05936623],[ 0.  0.  0.  1.]
[ 0.47484687  0.87698504 -0.07361128 -0.03805261],[-0.76053303  0.36682401 -0.53575198  0.06433592],[-0.44284418  0.31038445  0.84116076  0.11174589],[ 0.  0.  0.  1.]
[ 0.67851276  0.65719576  0.32819663 -0.03915755],[-0.26963632  0.63840447 -0.720927    0.01461865],[-0.68331314  0.4006647   0.61036966  0.13306755],[ 0.  0.  0.  1.]
[ 0.59638459  0.78514996 -0.16693267 -0.04920285],[ 0.63395886 -0.58828072 -0.50201802 -0.03808683],[-0.49236247  0.19356725 -0.84859374  0.11679764],[ 0.  0.  0.  1.]
[ 0.70268549  0.67277221  0.23154075 -0.05807711],[ 0.70863653 -0.63259873 -0.31249398 -0.05602449],[-0.06376524  0.38366314 -0.92126903  0.06326028],[ 0.  0.  0.  1.]
[ 0.89463809  0.4428908  -0.05891082 -0.07539749],[-0.37206412  0.66549937 -0.64705425  0.0432797 ],[-0.24736989  0.60079875  0.76016481  0.07139041],[ 0.  0.  0.  1.]
[ 0.90313452  0.42935529 -0.00155194 -0.08633034],[ 0.3475599  -0.73319728 -0.58448627 -0.01499761],[-0.25209049  0.52733037 -0.81140203  0.07552403],[ 0.  0.  0.  1.]
[ 0.47294744  0.63045999 -0.61550063 -0.01552506],[ 0.11743415 -0.73744033 -0.66512495  0.01594404],[-0.87322953  0.24228875 -0.42280779  0.15030513],[ 0.  0.  0.  1.]
