[ 0.06912223  0.99684403  0.03904414  0.36040894],[ 0.67564812 -0.07557374  0.73334054 -0.06134186],[ 0.7339769  -0.02431057 -0.67873999 -0.05827471],[ 0.  0.  0.  1.]
[-0.99204321 -0.01633251  0.12483153  0.38805773],[-0.06417889 -0.78742601 -0.61305925 -0.05077539],[ 0.10830906 -0.61619322  0.78011297 -0.0419235 ],[ 0.  0.  0.  1.]
[-0.98594932  0.1670283  -0.0022669   0.40450238],[-0.0982228  -0.59067012 -0.80091333 -0.02995063],[-0.13511367 -0.78943798  0.5987771  -0.01846243],[ 0.  0.  0.  1.]
[-0.92829066  0.36936639  0.04294845  0.40431384],[-0.2724333  -0.59693622 -0.75461806  0.01583439],[-0.25309237 -0.71220636  0.6547581   0.0315137 ],[ 0.  0.  0.  1.]
[-0.86936503  0.24138806  0.4312028   0.39225459],[-0.4361263  -0.78509604 -0.43979421  0.00733045],[ 0.23237528 -0.5704009   0.78781071 -0.05043721],[ 0.  0.  0.  1.]
[-0.7072277   0.48980396  0.50982436  0.38596835],[-0.67802624 -0.67417981 -0.2928528   0.06071264],[ 0.20027361 -0.55278859  0.80889854 -0.01751844],[ 0.  0.  0.  1.]
[-0.99827429  0.03312231  0.04848144  0.39077268],[-0.05815105 -0.67194765 -0.73831264  0.04045178],[ 0.00812281 -0.73985842  0.67271462  0.0565294 ],[ 0.  0.  0.  1.]
[-0.39280192  0.91958487 -0.00836323  0.36836448],[-0.7218042  -0.31392951 -0.61680384  0.05726299],[-0.56982863 -0.23624569  0.78707332  0.07321128],[ 0.  0.  0.  1.]
[-0.35381537  0.3774435  -0.85577478  0.38522423],[ 0.88399348 -0.16396765 -0.437801   -0.06470075],[-0.30556469 -0.91140092 -0.27564284  0.01701638],[ 0.  0.  0.  1.]
[-0.47995873  0.4569974  -0.74886116  0.3758663 ],[ 0.73348434 -0.25926087 -0.62831913 -0.03247743],[-0.48129032 -0.85084629 -0.2107655   0.07208793],[ 0.  0.  0.  1.]
