[-0.08246444  0.68066674  0.72793779  0.35319512],[-0.17400513 -0.72904022  0.6619846  -0.03348569],[ 0.98128648 -0.0720749   0.17855891 -0.07725065],[ 0.  0.  0.  1.]
[-0.13401861  0.67842765 -0.72233966  0.35507703],[ 0.94167323 -0.13987366 -0.30608295 -0.08018685],[-0.3086916  -0.72123003 -0.62011168 -0.03389707],[ 0.  0.  0.  1.]
[ 0.05443722  0.64651625  0.76095507  0.33735625],[-0.5161207  -0.63416735  0.57571786  0.02076544],[ 0.85478468 -0.42408586  0.29915784 -0.07759231],[ 0.  0.  0.  1.]
[-0.6560521   0.10676221  0.7471255   0.38681748],[-0.41057833 -0.88112338 -0.23461949  0.01224801],[ 0.63326192 -0.46067672  0.62189767 -0.05538225],[ 0.  0.  0.  1.]
[-0.98438828 -0.13840564  0.10873367  0.40198216],[ 0.04512608 -0.79558819 -0.60415603 -0.02970307],[ 0.17012629 -0.58981779  0.78941363 -0.02429723],[ 0.  0.  0.  1.]
[-0.9246399  -0.15047133 -0.34985601  0.3852044 ],[ 0.3317549  -0.76937383 -0.5458973  -0.06370517],[-0.18702775 -0.62082508  0.76131357  0.01606705],[ 0.  0.  0.  1.]
[ 0.02241653  0.51819914 -0.85496601  0.33444322],[ 0.91970537 -0.34597695 -0.18558452 -0.0861412 ],[-0.39196844 -0.78215829 -0.48434623  0.0227576 ],[ 0.  0.  0.  1.]
[ 0.22054209  0.67905002  0.70017942  0.25628472],[-0.92010779 -0.0933743   0.38037218  0.07048171],[ 0.32367098 -0.72812901  0.60420609 -0.03640063],[ 0.  0.  0.  1.]
[ 0.0500312   0.51728077  0.85435212  0.31148181],[-0.83830314 -0.44324614  0.3174617   0.06518753],[ 0.54290528 -0.73208905  0.41146101 -0.04743804],[ 0.  0.  0.  1.]
[-0.57162268  0.18226834  0.80001577  0.38327512],[-0.78805775 -0.39348269 -0.47343071  0.06251347],[ 0.22850163 -0.90108242  0.36856161 -0.02374582],[ 0.  0.  0.  1.]
[-0.9875264  -0.13560923  0.08000585  0.40454595],[-0.04209956 -0.26221636 -0.96409092  0.01851624],[ 0.15171895 -0.95543359  0.25323696  0.02392528],[ 0.  0.  0.  1.]
[-0.90243833 -0.11851395 -0.41419678  0.37818487],[ 0.00950428 -0.9666619   0.2558833  -0.02845785],[-0.43071342  0.22698208  0.87347938  0.07261013],[ 0.  0.  0.  1.]
[ 0.33466212  0.71946811 -0.60857721  0.31011845],[ 0.64150242 -0.64700914 -0.412134   -0.05377792],[-0.69027196 -0.25247881 -0.67807     0.07033417],[ 0.  0.  0.  1.]
[ 0.47814092  0.74503758 -0.46508137  0.25123052],[ 0.33594178 -0.64440983 -0.68693584 -0.03659222],[-0.81149512  0.17221119 -0.55840799  0.07623446],[ 0.  0.  0.  1.]
[-0.02840773  0.71541267  0.69812531  0.30141487],[-0.97673616 -0.16837839  0.13280345  0.09349719],[ 0.21255846 -0.67811183  0.70355141  0.00377224],[ 0.  0.  0.  1.]
[-0.10543551  0.58566938  0.80366364  0.35386439],[-0.98882363 -0.14741844 -0.02229584  0.08983348],[ 0.10541712 -0.79703236  0.59466585  0.02718705],[ 0.  0.  0.  1.]
[-0.34642098  0.44877382  0.82376847  0.3719315 ],[-0.7934198   0.3283324  -0.51252721  0.05708702],[-0.50047762 -0.8311452   0.24232439  0.06573604],[ 0.  0.  0.  1.]
[ 0.0263151   0.99912951  0.03237935  0.35300903],[ 0.120779    0.02897491 -0.99225716  0.02502892],[-0.99233051  0.03002218 -0.1199111   0.10071866],[ 0.  0.  0.  1.]
[ 0.26455244  0.92810955  0.26196343  0.2966301 ],[ 0.34557606  0.16236565 -0.92423814  0.00317678],[-0.90032738  0.33503778 -0.27777768  0.10232899],[ 0.  0.  0.  1.]
[ 0.15640495  0.79776263  0.58233282  0.29979555],[-0.86460323  0.39561808 -0.30975522  0.08897706],[-0.47749273 -0.4550392   0.75162484  0.0525671 ],[ 0.  0.  0.  1.]
[-0.16404057  0.81939946  0.54924983  0.29961874],[-0.62201475  0.34623168 -0.702298    0.04636244],[-0.76563015 -0.4568467   0.45288192  0.09075489],[ 0.  0.  0.  1.]
[-0.49608832  0.44142811  0.747688    0.39470468],[-0.32302052  0.70548422 -0.63083341  0.04471403],[-0.80594955 -0.55446743 -0.20739244  0.04225926],[ 0.  0.  0.  1.]
