[-0.57395901  0.80356545 -0.15765451  0.10954384],[-0.78010283 -0.47800264  0.40367544  0.04203956],[ 0.24902003  0.3546803   0.90121711  0.04077974],[ 0.  0.  0.  1.]
[-0.41972896  0.87617927  0.23693527  0.10986626],[ 0.90664178  0.39242853  0.15492173 -0.02156109],[ 0.04275904  0.27984036 -0.9590941   0.04512996],[ 0.  0.  0.  1.]
[-0.22421622  0.959739   -0.16919955  0.07014476],[-0.94933163 -0.17586594  0.26046259  0.08251193],[ 0.22021968  0.21902645  0.95054232  0.0427477 ],[ 0.  0.  0.  1.]
[-0.48338833  0.8704539   0.09298012  0.08447018],[-0.74736343 -0.35504424 -0.56159661  0.06309906],[-0.45583193 -0.34095945  0.82217033  0.09204448],[ 0.  0.  0.  1.]
[-0.60914084  0.78624501 -0.1037658   0.09632376],[-0.11050692 -0.21371508 -0.97062615  0.01158846],[-0.78532531 -0.57978146  0.21706777  0.10478373],[ 0.  0.  0.  1.]
[-0.51779895  0.78511677 -0.33981881  0.08214269],[ 0.342196   -0.17397935 -0.92338178 -0.04111204],[-0.78408329 -0.59441102 -0.17857766  0.09537817],[ 0.  0.  0.  1.]
[-0.27767545  0.96057273  0.01405373  0.06670175],[ 0.95014543  0.27244312  0.15165191 -0.06404653],[ 0.14184388  0.0554628  -0.98833439  0.04679397],[ 0.  0.  0.  1.]
[ 0.43876289  0.85350744 -0.28108915 -0.0248251 ],[-0.89746761  0.4319372  -0.08934299  0.09006628],[ 0.04515747  0.29146914  0.9555138   0.00194682],[ 0.  0.  0.  1.]
[ 0.16636148  0.98504347 -0.04487508  0.01193513],[-0.98606093  0.16632574 -0.00454351  0.09517292],[ 0.00298777  0.04500582  0.99898257  0.04459867],[ 0.  0.  0.  1.]
[ 0.0427377   0.90474401  0.42380566  0.03255758],[-0.76152417  0.30408694 -0.57237439  0.07990733],[-0.64672651 -0.29827608  0.70198043  0.1157635 ],[ 0.  0.  0.  1.]
[-0.54720268  0.71011268  0.4430679   0.03777802],[-0.16402581  0.42811    -0.88871731  0.01612979],[-0.82077085 -0.55898294 -0.11778677  0.13955235],[ 0.  0.  0.  1.]
[-0.15869908  0.36643676 -0.91680969  0.02125674],[ 0.26135102 -0.87986366 -0.39690864 -0.05211607],[-0.95210844 -0.30259845  0.04386513  0.12107986],[ 0.  0.  0.  1.]
[ 0.22996871  0.8908804   0.39172342  0.00504179],[ 0.94791126 -0.29620575  0.11715622 -0.07187708],[ 0.22040305  0.34437669 -0.91259372  0.05306585],[ 0.  0.  0.  1.]
[ 0.55785882  0.62586247  0.54506098 -0.0371727 ],[ 0.80288911 -0.57327192 -0.16348812 -0.06478375],[ 0.21014685  0.52882678 -0.82230266  0.00873106],[ 0.  0.  0.  1.]
[ 0.4249573   0.88274564 -0.20043185 -0.04285417],[-0.87497184  0.34380884 -0.34091195  0.08236973],[-0.23202874  0.32024579  0.91848078  0.06355868],[ 0.  0.  0.  1.]
[ 0.46472112  0.88537027  0.01243323 -0.03074327],[-0.81598001  0.43366617 -0.38224512  0.06590838],[-0.34382078  0.16749266  0.92397761  0.11736371],[ 0.  0.  0.  1.]
[ 0.62720863  0.56102699  0.54023924 -0.02777786],[-0.27778554  0.80915602 -0.51778717  0.0164913 ],[-0.72762991  0.17469062  0.66335394  0.1381948 ],[ 0.  0.  0.  1.]
[ 0.58562521  0.44251273  0.67913624 -0.04064073],[ 0.74554082  0.03478186 -0.66555203 -0.0312724 ],[-0.31813669  0.89608828 -0.30954182  0.12543788],[ 0.  0.  0.  1.]
[ 0.50742732  0.13167098  0.85157529 -0.05582171],[ 0.86165656 -0.06830908 -0.5028743  -0.05060479],[-0.00804373  0.98893775 -0.14811689  0.07017042],[ 0.  0.  0.  1.]
[ 0.89542511  0.44445654 -0.025918   -0.0726441 ],[-0.32991956  0.6233289  -0.70895261  0.04676549],[-0.29894416  0.64336537  0.70477964  0.07933489],[ 0.  0.  0.  1.]
[ 0.78564011  0.48515955  0.38391435 -0.0723672 ],[ 0.03173087  0.58811866 -0.80815204 -0.01042778],[-0.61787045  0.64709921  0.44665451  0.08112248],[ 0.  0.  0.  1.]
[ 0.4760894   0.15522016  0.86558981  0.0056897 ],[ 0.27208164  0.9100033  -0.31283491  0.02341157],[-0.83624831  0.3844493   0.39100988  0.14560424],[ 0.  0.  0.  1.]
